Object,Band,mag_5kpc,e_5kpc,magerr_5kpc,zerr_5kpc,npix_5kpc,mag_10kpc,e_10kpc,magerr_10kpc,zerr_10kpc,npix_10kpc,mag_15kpc,e_15kpc,magerr_15kpc,zerr_15kpc,npix_15kpc,mag_30kpc,e_30kpc,magerr_30kpc,zerr_30kpc,npix_30kpc
SN2006E,NUV,18.12210721781998,1.5037585056951668,1.4667652758118122,0.3314955039261611,8551,16.725398140404877,2.261916272993743,2.261123902323188,0.059865886585456586,34016,16.34830185192042,2.5863640443750016,2.5858675308837293,0.05067625437125004,76394,14.921717995046476,3.3569617745455105,3.3567662543510544,0.036230779866523836,305046
SN2007af,FUV,16.975555663310825,1.126490302301789,0.9715428007965756,0.5701622465582242,2676,15.535054967890595,1.7477249956617513,1.7247986929367856,0.282156214364357,10572,15.128362025904673,2.043207041989246,2.0373989656649254,0.1539495733736749,23726,14.7355138021146,2.454989341882087,2.454512792776946,0.04836960666532543,94589
SN2007af,NUV,16.564437821567793,1.8716532691105319,1.7932976401429763,0.5358820146541338,2676,15.153028902388522,2.5366218756780525,2.521480152518281,0.2767460580113618,10572,14.755302967922347,2.82712291838998,2.8234421132016614,0.14421729814836384,23726,14.326173309455069,3.221068224371977,3.220112789229023,0.07844826768336852,94589
SN2006cu,NUV,-99,-99,-99,-99,74,-99,-99,-99,-99,285,24.297784871396225,0.7919870008317362,0.6603471654069769,0.4372471047650507,626,20.806089418327044,1.2227525917931208,1.2199483134324378,0.08276480707489517,2463
SN2004dk,NUV,-99,-99,-99,-99,2868,-99,-99,-99,-99,11351,22.105224718021812,4.045806172668568,2.382845449074428,3.2696475578613016,25487,17.996332615789722,3.091684645420308,3.0656132803508647,0.4006609065832448,101603
SN2002ha,FUV,20.602451431064996,0.6407381191536126,0.6401899303549402,0.026498875610972424,293,19.229142974064878,0.07903117820159224,0.07352756661258074,0.028976267460877884,1139,18.42543334379488,0.5158710804461148,0.5148930342234299,0.03175114090598505,2527,17.353509497990753,1.223321684749522,1.2232746068923888,0.010732218348553053,10032
SN2002ha,NUV,19.971353867981467,0.0713649158518574,0.06648216739244552,0.02594364340923502,293,18.640609987781147,0.7763998932939481,0.776163135486857,0.01917241294320669,1139,17.883833873728072,1.2032446304926936,1.2029601362464726,0.026163933407780775,2527,16.69868135395393,1.8884853538372106,1.888414939868608,0.01630786738651816,10032
SN2006cm,FUV,21.452770813933075,1.0263968304306845,1.0258256870404239,0.03423614064403125,209,20.407388073994827,0.3768780012807053,0.3736449797432237,0.049259079995725354,813,19.840218450862395,0.03806228066231692,0.006506523224765498,0.037502031474875755,1815,19.431485542501253,0.6039879801490629,0.6039798653107621,0.0031308886499601166,7185
SN2006cm,NUV,20.842077293893812,0.2656542163682141,0.2647255830477847,0.02219297984093959,209,19.810159707795748,0.34795263503282153,0.3463087185433633,0.033783245657240675,813,18.8291171694518,0.8843121846099238,0.8840133145568005,0.022989117770701173,1815,18.448872928007468,1.3220178374597507,1.3220117994703853,0.003995575406592495,7185
SN2007le,FUV,16.55909220099973,1.1565559659949896,1.156433099693158,0.016857888737256462,1214,15.603280936580859,1.7264277861755268,1.7262317301723247,0.02601758300060703,4785,15.269652059310026,1.9413593315797613,1.9413533572060229,0.0048163032215240275,10719,14.741787836207997,2.366123072920942,2.366109621178644,0.007978519580491722,42673
